player,position
Paulo Gazzaniga,GK
Fabio Pereira da Silva,Unknown
Branislav Ivanovic,Unknown
Kyle Walker,DEF
Marko Grujic,Unknown
Enner Valencia,Unknown
Filip Lesniak,Unknown
Dusan Tadic,Unknown
Kieran O'Hara,Unknown
Luciano Narsingh,Unknown
Salomn Rondn,Unknown
Willian Borges Da Silva,MID
Jordy Clasie,Unknown
Paul Pogba,MID
Adrian Mariappa,Unknown
Rouwen Hennings,Unknown
Michel Vorm,Unknown
David Nugent,Unknown
Stefano Okaka,Unknown
Ashley Barnes,FWD
Junior Stanislas,Unknown
Josh Clackstone,Unknown
Mohamed Elneny,MID
Jason Puncheon,Unknown
Andrea Ranocchia,Unknown
Luke Dreher,Unknown
George Boyd,Unknown
Robert Huth,Unknown
Roberto Firmino,FWD
Connor Goldson,Unknown
Papa Alioune Ndiaye,Unknown
Alfie Whiteman,Unknown
Siem de Jong,Unknown
Pierre-Emerick Aubameyang,MID
Joo Mrio Naval Costa Eduardo,Unknown
Jayson Molumby,Unknown
Florent Hadergjonaj,Unknown
Aymeric Laporte,DEF
Martin Dubravka,GK
Ben Johnson,DEF
Sead Haksabanovic,Unknown
Harry Souttar,Unknown
Tyrese Campbell,Unknown
Kasey Palmer,Unknown
Matty James,MID
Dean Whitehead,Unknown
Jordan Hugill,FWD
Nikola Vlasic,Unknown
Uwe Hnemeier,Unknown
Niki Menp,Unknown
Isaiah Brown,Unknown
Vicente Iborra,Unknown
Jan Bednarek,DEF
Florian Lejeune,DEF
Steve Sidwell,Unknown
Jeremie Boga,Unknown
Massadio Haidara,Unknown
Jonathan Hogg,Unknown
Harry Bunn,Unknown
Mark Hudson,Unknown
Levi Lumeka,Unknown
Connor Mahoney,Unknown
Davy Prpper,Unknown
Kyle Walker-Peters,DEF
Harvey Barnes,MID
Rajiv van La Parra,Unknown
Grzegorz Krychowiak,Unknown
Antonio Martinez Lopez,Unknown
Ayoze Prez,MID
Diego Cavalieri,Unknown
Dujon Sterling,Unknown
Glenn Murray,FWD
Serge Aurier,DEF
Bernardo Mota Veiga de Carvalho e Silva,MID
Will Hughes,Unknown
Konstantinos Stafylidis,Unknown
Richarlison de Andrade,FWD
Nathan Trott,Unknown
Dodi Lukebakio,Unknown
Sandro Ramrez,Unknown
Andreas Christensen,DEF
Chris Wood,FWD
Konstantinos Mavropanos,Unknown
Christopher Schindler,Unknown
Danny Williams,FWD
Charly Musonda,Unknown
Jes Rodrguez Ruiz,Unknown
Matt Ritchie,MID
Michael Hefele,Unknown
Erdal Rakip,Unknown
Max Melbourne,Unknown
Charlie Taylor,Unknown
