,value,total_points
983,50,0
984,49,0
985,49,0
986,48,0
987,48,0
988,48,0
989,48,0
990,48,0
991,47,0
992,47,0
993,47,0
994,47,0
995,47,0
996,47,0
997,47,0
998,47,0
999,47,0
1000,47,0
1001,47,0
1002,47,0
1003,47,0
1004,47,0
1005,47,0
1006,47,0
1007,46,0
1008,46,0
1009,46,0
1010,46,0
1011,46,0
1012,46,0
1013,46,0
1014,46,0
1015,46,0
1016,46,0
1017,46,0
1018,46,0
1019,46,0
1020,55,1
1021,55,1
1022,55,6
1023,55,1
1024,55,1
1025,55,0
1026,55,2
1027,55,10
1028,55,3
1029,55,6
1030,55,3
1031,56,3
1032,56,9
1033,57,2
1034,57,3
1035,57,2
1036,57,3
1037,57,3
1038,58,1
1039,58,2
1040,57,3
1041,57,8
1042,56,2
1043,56,3
1044,56,5
1045,56,2
1046,56,3
1047,56,2
1048,56,0
1049,55,0
1050,55,1
1051,55,1
1052,55,2
1053,55,3
1054,55,3
1055,55,3
1056,55,0
1057,55,2
1058,45,0
1059,45,0
1060,45,0
1061,44,0
1062,44,0
1063,44,0
1064,44,0
1065,43,0
1066,43,0
1067,43,0
1068,43,0
1069,43,0
1070,43,0
1071,43,0
1072,43,0
1073,42,0
1074,42,0
1075,42,0
1076,42,0
1077,42,0
1078,42,0
1079,42,0
1080,42,0
1081,42,0
1082,42,0
1083,42,0
1084,42,0
1085,42,0
1086,42,0
1087,42,0
1088,42,0
1089,42,0
1090,42,0
1091,42,0
1092,42,0
1093,42,0
1094,42,0
1095,42,0
1096,55,0
1097,54,3
1098,54,3
1099,54,2
1100,53,3
1101,53,2
1102,53,3
1103,52,2
1104,52,0
1105,51,1
1106,51,0
1107,51,2
1108,50,1
1109,50,2
1110,50,2
1111,50,2
1112,50,1
1113,50,2
1114,50,7
1115,50,1
1116,50,2
1117,50,1
1118,50,3
1119,50,0
1120,49,1
1121,49,5
1122,49,2
1123,49,5
1124,49,0
1125,49,8
1126,49,7
1127,49,2
1128,49,2
1129,49,3
1130,49,8
1131,49,4
1132,49,1
1133,50,2
1134,45,0
1135,45,0
1136,44,1
1137,44,0
1138,44,0
1139,44,3
1140,44,0
1141,44,-1
1142,44,1
1143,44,2
1144,44,2
1145,44,0
1146,44,0
1147,44,0
1148,44,4
1149,44,0
1150,44,1
1151,44,1
1152,44,3
1153,44,1
1154,44,2
1155,44,1
1156,44,6
1157,44,5
1158,44,1
1159,44,4
1160,44,1
1161,44,2
1162,44,0
1163,44,2
1164,44,7
1165,44,0
1166,44,7
1167,44,9
1168,44,5
1169,44,1
1170,44,0
1171,44,0
1172,45,0
1173,45,0
1174,44,0
1175,44,0
1176,44,0
1177,44,0
1178,44,0
1179,44,0
1180,44,0
1181,44,0
1182,44,0
1183,44,0
1184,44,0
1185,44,0
1186,44,0
1187,44,0
1188,44,0
1189,44,0
1190,44,0
1191,44,0
1192,44,0
1193,44,0
1194,44,0
1195,44,0
1196,44,0
1197,44,0
1198,44,0
1199,44,0
1200,44,0
1201,44,0
1202,44,0
1203,44,0
1204,44,0
1205,44,0
1206,44,0
1207,44,0
1208,44,0
1209,44,0
1210,55,1
1211,55,1
1212,54,1
1213,53,3
1214,53,1
1215,52,3
1216,52,2
1217,51,2
1218,51,5
1219,51,3
1220,51,13
1221,51,2
1222,51,1
1223,51,0
1224,51,0
1225,51,0
1226,51,0
1227,50,1
1228,50,1
1229,50,1
1230,50,0
1231,50,0
1232,49,0
1233,49,0
1234,49,0
1235,49,0
1236,49,0
1237,49,0
1238,49,0
1239,49,0
1240,49,0
1241,49,0
1242,48,0
1243,48,1
1244,48,0
1245,48,1
1246,48,4
1247,48,0
1248,45,0
1249,45,0
